"","CO_MUNICIPIO_RESIDENCIA","uf_res","nu_nota_cn","nu_nota_ch","nu_nota_lc","nu_nota_mt","nu_nota_redacao"
"1",2600054,"26",468.270425321464,524.853115727003,513.904549950544,469.724085064293,509.861523244313
"2",2600104,"26",473.207157258065,522.253931451613,516.682862903226,483.735080645161,515.903225806452
"3",2600203,"26",454.773006993007,496.405734265734,485.94027972028,453.082377622378,495.762237762238
"4",2600302,"26",454.995796178344,516.37847133758,501.339108280255,458.752229299363,510.373248407643
"5",2600401,"26",449.666176470588,499.862745098039,494.809477124183,450.709150326797,482.679738562092
"6",2600500,"26",456.181448538755,508.058195679797,500.815374841169,460.266200762389,489.911054637865
"7",2600609,"26",457.932873563218,507.511954022989,499.929655172414,471.194022988506,499.724137931034
"8",2600708,"26",462.005420353982,511.466703539823,504.105199115044,456.793805309735,523.495575221239
"9",2600807,"26",470.063765182186,518.375910931174,502.558097165992,471.298785425101,520.526315789474
"10",2600906,"26",459.106557377049,500.696955503513,499.307494145199,457.208665105386,510.257611241218
"11",2601003,"26",451.836363636364,503.835757575758,486.217575757576,451.987878787879,499.030303030303
"12",2601052,"26",452.318166939444,489.413584288052,484.076104746318,439.852700490998,446.258592471358
"13",2601102,"26",478.086100676183,530.108790383171,515.519158527423,486.70007513148,534.35011269722
"14",2601201,"26",476.622605537903,534.9955969133,521.494825238311,483.515388107127,531.205628688153
"15",2601300,"26",457.222,506.8212,507.7356,459.2776,521.6
"16",2601409,"26",460.554210028382,506.057805108799,497.640775780511,458.759508041627,503.570482497635
"17",2601508,"26",463.081060606061,509.383333333333,503.433333333333,461.656818181818,505.378787878788
"18",2601607,"26",455.32402022756,505.954235145386,499.729456384324,454.982048040455,494.437420986094
"19",2601706,"26",473.074949290061,528.220638945233,519.568914807302,486.853955375254,529.129817444219
"20",2601805,"26",459.164539007092,508.928368794326,496.899290780142,466.991489361702,474.893617021277
"21",2601904,"26",471.762108655617,531.172099447514,519.90105893186,488.694981583794,532.550644567219
"22",2602001,"26",469.979303675048,518.905415860735,501.591295938104,477.398065764023,508.085106382979
"23",2602100,"26",463.291390728477,514.371274834437,504.486092715232,463.091887417219,514.53642384106
"24",2602209,"26",471.329875518672,519.865456431535,511.502697095436,474.544087136929,531.655601659751
"25",2602308,"26",460.652460732984,513.991832460733,503.073612565445,467.050785340314,499.057591623037
"26",2602407,"26",456.476767676768,525.315656565657,499.821212121212,458.881818181818,521.212121212121
"27",2602506,"26",464.8204,515.04,506.7728,465.09,510.56
"28",2602605,"26",456.292667277727,515.907974335472,504.877360219982,466.561503208066,515.116406966086
"29",2602704,"26",466.538819875776,519.474534161491,504.82950310559,453.678571428571,513.540372670807
"30",2602803,"26",460.352209492635,512.257937806874,500.414402618658,460.956137479542,478.134206219313
"31",2602902,"26",467.71940823202,520.822249890142,511.556833162443,468.605419657243,496.352717152483
"32",2603009,"26",449.645640569395,493.571085409253,490.465302491103,450.765747330961,476.886120996441
"33",2603108,"26",460.282692307692,524.473717948718,507.921153846154,474.322222222222,544.957264957265
"34",2603207,"26",455.497888386124,505.136802413273,492.056561085973,464.848416289593,490.407239819005
"35",2603306,"26",462.188016528926,507.176446280992,492.545041322314,465.628512396694,512.727272727273
"36",2603405,"26",466.419594594595,505.939864864865,495.949324324324,487.587162162162,511.756756756757
"37",2603454,"26",474.27692814766,529.031878707976,516.943876071193,475.840685563612,523.418457481872
