"","id","aeroporto","mun","uf","ciad","nome","latitude","longitude","altitude","comprimento","largura","superficie"
"1",1,"sbar","aracaju","se","se0001","santa maria",-37.0733333333333,-10.9852777777778,"7 m","2200 m","45 m","asfalto"
"2",2,"sbbe","belém","pa","pa0001","internacional de belém/val de cans/júlio cezar ribeiro",-48.4788888888889,-1.38472222222222,"17 m","2800 m","45 m","asfalto"
"3",3,"sbbg","bagé","rs","rs0010","comandante gustavo kraemer",-54.1097222222222,-31.3908333333333,"186 m","1500 m","30 m","concreto"
"4",4,"sbbh","belo-horizonte","mg","mg0003","pampulha - carlos drummond de andrade",-43.9505555555556,-19.8519444444444,"789 m","2364 m","45 m","asfalto"
"5",5,"sbbi","curitiba","pr","pr0006","bacacheri",-49.2336111111111,-25.4033333333333,"932 m","1390 m","31 m","asfalto"
"6",6,"sbbv","boa-vista","rr","rr0001","atlas brasil cantanhede",-60.6922222222222,2.84138888888889,"84 m","2700 m","45 m","asfalto"
"7",7,"sbcg","campo-grande","ms","ms0001","campo grande",-54.6702777777778,-20.4694444444444,"559 m","2600 m","45 m","asfalto"
"8",8,"sbcj","carajás","pa","pa0006","carajás",-50.0013888888889,-6.11527777777778,"629 m","2000 m","45 m","asfalto"
"9",9,"sbcr","corumbá","ms","ms0009","corumbá",-57.6713888888889,-19.0119444444444,"141 m","1500 m","45 m","asfalto"
"10",10,"sbct","curitiba","pr","pr0001","afonso pena",-49.1761111111111,-25.5316666666667,"911 m","2218 m","45 m","asfalto"
"11",11,"sbcy","cuiabá","mt","mt0001","marechal rondon",-56.1175,-15.65,"188 m","2300 m","45 m","asfalto"
"12",12,"sbcz","cruzeiro-do-sul","ac","ac0002","cruzeiro do sul",-72.7694444444444,-7.59944444444444,"194 m","2400 m","45 m","asfalto"
"13",13,"sbeg","manaus","am","am0001","eduardo gomes",-60.0505555555556,-3.04111111111111,"80 m","2700 m","45 m","asfalto"
"14",14,"sbfi","foz-do-iguaçu","pr","pr0002","cataratas",-54.485,-25.6002777777778,"240 m","2195 m","45 m","asfalto"
"15",15,"sbgo","goiânia","go","go0001","santa genoveva/goiânia",-49.2211111111111,-16.6325,"747 m","2286 m","45 m","asfalto"
"16",16,"sbht","altamira","pa","pa0003","altamira",-52.2522222222222,-3.25083333333333,"112 m","2003 m","30 m","asfalto"
"17",17,"sbiz","imperatriz","ma","ma0002","prefeito renato moreira",-47.4583333333333,-5.53055555555556,"131 m","1798 m","45 m","asfalto"
"18",18,"sbjc","belém","pa","pa0005","belém/brigadeiro protásio de oliveira",-48.4588888888889,-1.415,"16 m","1106 m","30 m","asfalto"
"19",19,"sbjp","joão-pessoa","pb","pb0001","presidente castro pinto",-34.9502777777778,-7.14833333333333,"66 m","2515 m","45 m","asfalto"
"20",20,"sbjr","jacarepaguá","rj","rj0005","jacarepaguá/rj - roberto marinho",-43.37,-22.9875,"3 m","900 m","30 m","asfalto"
"21",21,"sbju","juazeiro-do-norte","ce","ce0002","orlando bezerra de menezes",-39.2694444444444,-7.21916666666667,"409 m","1940 m","45 m","asfalto"
"22",22,"sbjv","joinville","sc","sc0004","lauro carneiro de loyola",-48.7977777777778,-26.2230555555556,"5 m","1540 m","45 m","asfalto"
"23",23,"sbkg","campina-grande","pb","pb0003","presidente joão suassuna",-35.895,-7.26916666666667,"502 m","1600 m","42 m","asfalto"
"24",24,"sblo","londrina","pr","pr0003","governador josé richa",-51.1366666666667,-23.3302777777778,"569 m","2100 m","45 m","asfalto"
"25",25,"sbma","marabá","pa","pa0004","joão correa da rocha",-49.1380555555556,-5.36805555555556,"109 m","2000 m","45 m","asfalto"
"26",26,"sbme","macaé","rj","rj0004","macaé",-41.7638888888889,-22.3427777777778,"2 m","1200 m","30 m","asfalto"
