id aeroporto mun uf
1 SBAR Aracaju SE
2 SBBE Belém PA
3 SBBG Bagé RS
4 SBBH Belo-Horizonte MG
5 SBBI Curitiba PR
6 SBBV Boa-Vista RR
7 SBCG Campo-Grande MS
8 SBCJ Carajás PA
9 SBCR Corumbá MS
10 SBCT Curitiba PR
11 SBCY Cuiabá MT
12 SBCZ Cruzeiro-do-Sul AC
13 SBEG Manaus AM
14 SBFI Foz-do-Iguaçu PR
15 SBGO Goiânia GO
16 SBHT Altamira PA
17 SBIZ Imperatriz MA
18 SBJC Belém PA
19 SBJP João-Pessoa PB
20 SBJR Jacarepaguá RJ
21 SBJU Juazeiro-do-Norte CE
22 SBJV Joinville SC
23 SBKG Campina-Grande PB
24 SBLO Londrina PR
25 SBMA Marabá PA
26 SBME Macaé RJ
27 SBMK Montes-Claros MG
28 SBMO Maceió AL
29 SBMQ Macapá AP
30 SBMT São-Paulo SP
31 SBNF Navegantes SC
32 SBPB Parnaíba PI
33 SBPJ Palmas TO
34 SBPK Pelotas RS
35 SBPL Petrolina PE
36 SBPP Ponta-Porã MS
37 SBPR Belo-Horizonte MG
38 SBPV Porto-Velho RO
39 SBRB Rio-Branco AC
40 SBRF Recife PE
41 SBRJ Rio-de-Janeiro RJ
42 SBSJ São-José-dos-Campos SP
43 SBSL São-Luís MA
44 SBSN Santarém PA
45 SBSP São-Paulo SP
46 SBTE Teresina PI
47 SBTF Tefé AM
48 SBTT Tabatinga AM
49 SBUF Paulo-Afonso BA
50 SBUG Uruguaiana RS
51 SBUL Uberlândia MG
52 SBUR Uberaba MG
53 SBVT Vitória ES
