"","data","nome_aeroporto","tipo_transporte","tipo_voo","pousos_no_mes","decolagens_no_mes","pou_dec_no_mes","embarcado_no_mes","desembarcado_no_mes","emb_desemb_no_mes","carregada_no_mes","descarregada_no_mes","car_descar_no_mes","transito_no_mes"
"1",2012-04-01,"sbbe","transporte regular","voo doméstico",1632,1635,3267,129783,124350,254133,100650,332477,433127,0
"2",2012-04-01,"sbbe","transporte regular","voo internacional",25,25,50,2057,1805,3862,0,29,29,0
"3",2012-04-01,"sbbe","transporte não regular","voo doméstico",489,488,977,2364,2271,4635,0,0,0,0
"4",2012-04-01,"sbbe","transporte não regular","voo internacional",20,18,38,44,28,72,0,0,0,0
"5",2012-04-01,"sbbg","transporte regular","voo doméstico",0,0,0,0,0,0,0,0,0,0
"6",2012-04-01,"sbbg","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"7",2012-04-01,"sbbg","transporte não regular","voo doméstico",22,24,46,155,138,293,0,0,0,0
"8",2012-04-01,"sbbg","transporte não regular","voo internacional",1,1,2,7,0,7,0,0,0,0
"9",2012-04-01,"sbbh","transporte regular","voo doméstico",666,672,1338,22515,23695,46210,0,0,0,0
"10",2012-04-01,"sbbh","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"11",2012-04-01,"sbbh","transporte não regular","voo doméstico",2210,2208,4418,9278,9275,18553,0,0,0,0
"12",2012-04-01,"sbbh","transporte não regular","voo internacional",9,10,19,49,44,93,0,0,0,0
"13",2012-04-01,"sbbi","transporte regular","voo doméstico",0,0,0,0,0,0,0,0,0,0
"14",2012-04-01,"sbbi","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"15",2012-04-01,"sbbi","transporte não regular","voo doméstico",1274,1260,2534,4496,3012,7508,0,0,0,0
"16",2012-04-01,"sbbi","transporte não regular","voo internacional",3,8,11,0,0,0,0,0,0,0
"17",2012-04-01,"sbbv","transporte regular","voo doméstico",90,91,181,12202,12069,24271,0,0,0,0
"18",2012-04-01,"sbbv","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"19",2012-04-01,"sbbv","transporte não regular","voo doméstico",419,425,844,1098,689,1787,0,0,0,0
"20",2012-04-01,"sbbv","transporte não regular","voo internacional",38,29,67,21,10,31,0,0,0,0
"21",2012-04-01,"sbcg","transporte regular","voo doméstico",796,797,1593,65075,62250,127325,62415,140937,203352,0
"22",2012-04-01,"sbcg","transporte regular","voo internacional",51,51,102,1595,1653,3248,0,0,0,0
"23",2012-04-01,"sbcg","transporte não regular","voo doméstico",341,348,689,118,454,572,0,0,0,0
"24",2012-04-01,"sbcg","transporte não regular","voo internacional",15,17,32,0,0,0,0,0,0,0
"25",2012-04-01,"sbcj","transporte regular","voo doméstico",146,145,291,4283,4099,8382,0,0,0,0
"26",2012-04-01,"sbcj","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"27",2012-04-01,"sbcj","transporte não regular","voo doméstico",126,128,254,929,1285,2214,0,0,0,0
"28",2012-04-01,"sbcj","transporte não regular","voo internacional",1,1,2,0,0,0,0,0,0,0
"29",2012-04-01,"sbcr","transporte regular","voo doméstico",30,30,60,1266,1253,2519,0,0,0,0
"30",2012-04-01,"sbcr","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"31",2012-04-01,"sbcr","transporte não regular","voo doméstico",50,51,101,160,161,321,0,0,0,0
"32",2012-04-01,"sbcr","transporte não regular","voo internacional",4,3,7,10,11,21,0,0,0,0
"33",2012-04-01,"sbct","transporte regular","voo doméstico",3208,3199,6407,292924,284684,577608,173468,66420,239888,274697
"34",2012-04-01,"sbct","transporte regular","voo internacional",123,121,244,5557,4803,10360,0,0,0,0
"35",2012-04-01,"sbct","transporte não regular","voo doméstico",404,401,805,2407,2498,4905,0,0,0,0
"36",2012-04-01,"sbct","transporte não regular","voo internacional",23,28,51,141,28,169,0,0,0,0
"37",2012-04-01,"sbcz","transporte regular","voo doméstico",30,30,60,2337,2351,4688,0,0,0,0
"38",2012-04-01,"sbcz","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"39",2012-04-01,"sbcz","transporte não regular","voo doméstico",217,219,436,1166,727,1893,4226,23420,27646,0
"40",2012-04-01,"sbcz","transporte não regular","voo internacional",1,1,2,0,0,0,0,0,0,0
"41",2012-04-01,"sbeg","transporte regular","voo doméstico",1351,1349,2700,113122,102072,215194,0,0,0,0
"42",2012-04-01,"sbeg","transporte regular","voo internacional",70,66,136,6146,6140,12286,0,0,0,0
"43",2012-04-01,"sbeg","transporte não regular","voo doméstico",672,690,1362,6433,6661,13094,0,0,0,0
"44",2012-04-01,"sbeg","transporte não regular","voo internacional",202,204,406,154,134,288,0,0,0,0
"45",2012-04-01,"sbfi","transporte regular","voo doméstico",618,617,1235,67082,68676,135758,0,0,0,0
"46",2012-04-01,"sbfi","transporte regular","voo internacional",30,30,60,2991,2881,5872,0,0,0,0
"47",2012-04-01,"sbfi","transporte não regular","voo doméstico",112,107,219,396,956,1352,0,0,0,0
"48",2012-04-01,"sbfi","transporte não regular","voo internacional",27,30,57,333,371,704,0,0,0,0
"49",2012-04-01,"sbgo","transporte regular","voo doméstico",1525,1524,3049,122510,123330,245840,110004,211967,321971,158041
"50",2012-04-01,"sbgo","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"51",2012-04-01,"sbgo","transporte não regular","voo doméstico",1663,1663,3326,8608,8426,17034,0,0,0,0
"52",2012-04-01,"sbgo","transporte não regular","voo internacional",3,6,9,30,15,45,0,0,0,0
"53",2012-04-01,"sbht","transporte regular","voo doméstico",194,194,388,5636,5758,11394,0,0,0,0
"54",2012-04-01,"sbht","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"55",2012-04-01,"sbht","transporte não regular","voo doméstico",156,155,311,142,171,313,12740,22676,35416,5627
"56",2012-04-01,"sbht","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"57",2012-04-01,"sbiz","transporte regular","voo doméstico",178,177,355,12865,12392,25257,0,0,0,0
"58",2012-04-01,"sbiz","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"59",2012-04-01,"sbiz","transporte não regular","voo doméstico",173,173,346,385,421,806,0,0,0,0
"60",2012-04-01,"sbiz","transporte não regular","voo internacional",1,2,3,0,0,0,0,0,0,0
"61",2012-04-01,"sbjc","transporte regular","voo doméstico",0,0,0,0,0,0,0,0,0,0
"62",2012-04-01,"sbjc","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"63",2012-04-01,"sbjc","transporte não regular","voo doméstico",619,625,1244,1023,1049,2072,0,0,0,0
"64",2012-04-01,"sbjc","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"65",2012-04-01,"sbjr","transporte regular","voo doméstico",0,0,0,0,0,0,0,0,0,0
"66",2012-04-01,"sbjr","transporte regular","voo internacional",0,0,0,0,0,0,0,0,0,0
"67",2012-04-01,"sbjr","transporte não regular","voo doméstico",3274,3290,6564,8662,4000,12662,0,0,0,0
"68",2012-04-01,"sbjr","transporte não regular","voo internacional",0,0,0,0,0,0,0,0,0,0
