CODMUNRES,n_obitos,n_obitos_tb,n_obitos_mulheres,prop_mulheres,n_obitos_menos5,CITY,IBGE_RES_POP,IBGE_RES_POP_BRAS,IBGE_RES_POP_ESTR,IBGE_DU,IBGE_DU_URBAN,IBGE_DU_RURAL,IBGE_POP,IBGE_1,IBGE_1-4,IBGE_5-9,IBGE_10-14,IBGE_15-59,IBGE_60+,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM Ranking 2010,IDHM,IDHM_Renda,IDHM_Longevidade,IDHM_Educacao
290000,306,2,39,12.745098039215685,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290010,81,0,37,45.67901234567901,0,abaíra,8316,8316,0,2572,1193,1379,3725,37,156,263,277,2319,673,895,3999,4086,0.603,0.577,0.746,0.51
290020,78,0,37,47.43589743589743,0,abaré,17064,17064,0,4332,2379,1953,8994,167,733,978,927,5386,803,2058,22761,4756,0.575,0.533,0.776,0.46
290030,112,1,43,38.392857142857146,0,acajutiba,14653,14643,10,4116,3632,484,12727,216,849,1282,1404,7412,1564,4570,11442,4613,0.58,0.56,0.723,0.487
290035,73,1,33,45.20547945205479,0,adustina,15702,15702,0,4544,1704,2840,5545,65,324,437,524,3498,697,26000,26863,5261,0.546,0.526,0.718,0.432
290040,114,1,44,38.59649122807017,0,água fria,15731,15731,0,4610,1830,2780,5753,89,332,463,562,3504,803,6315,2072,5195,0.55,0.529,0.747,0.422
290050,83,1,38,45.78313253012048,0,érico cardoso,10859,10859,0,2659,542,2117,1999,26,98,140,171,1293,271,1767,5450,4555,0.584,0.558,0.758,0.471
290060,28,0,11,39.285714285714285,0,aiquara,4602,4602,0,1376,786,590,2673,40,156,256,245,1625,351,2910,5677,4573,0.583,0.573,0.733,0.471
290070,1059,0,500,47.21435316336166,6,alagoinhas,141949,141929,20,41702,36764,4938,123051,1704,6649,8980,10393,82616,12709,2585,16886,2385,0.68,0.681,0.79,0.592
290080,139,4,61,43.884892086330936,2,alcobaça,21271,21261,10,6068,3240,2828,11788,216,865,1110,1235,7307,1055,3419,38318,3982,0.608,0.611,0.771,0.476
290090,56,0,21,37.5,0,almadina,6357,6357,0,1983,1552,431,5067,90,270,378,534,3007,788,3357,14006,4995,0.563,0.563,0.751,0.421
290100,300,1,128,42.66666666666667,1,amargosa,34351,34337,14,10418,7720,2698,24819,321,1387,2110,2199,15437,3365,3046,12498,3596,0.625,0.616,0.807,0.492
